feature,mean_abs_shap
us_aqi,9.054609
temperature_c_rolling_24h,7.6742835
us_aqi_lag_72,6.0621295
month,5.6798835
us_aqi_lag_24,3.0744278
us_aqi_lag_1,2.174177
day,1.5411938
pm25_rolling_24h,1.3590381
dust_rolling_24h,0.96357065
precipitation_mm_rolling_24h,0.87849665
pm10_rolling_24h,0.8740784
co_rolling_24h,0.75157785
humidity_pct_rolling_24h,0.5979489
us_aqi_lag_48,0.4382278
humidity_pct_lag_48,0.41703776
dayofweek,0.3952509
us_aqi_max_24,0.34555352
dust_lag_1,0.33264413
us_aqi_rolling_24h,0.30476284
us_aqi_std_24,0.24875663
so2_rolling_24h,0.2322097
temperature_c_lag_3,0.22923853
us_aqi_diff_6,0.2189359
no2_rolling_24h,0.21881506
humidity_pct_lag_72,0.21105461
wind_speed_kmh_rolling_24h,0.19745201
hour,0.19424498
dust_lag_24,0.1796884
us_aqi_lag_12,0.17635313
temperature_c_lag_48,0.17318341
temperature_c_trend,0.1708793
pm10_lag_1,0.16635694
co_lag_24,0.16135405
us_aqi_max_6,0.15612383
o3_rolling_24h,0.14984185
us_aqi_max_12,0.13932608
dust_trend,0.12974182
temperature_c_lag_6,0.10908069
wind_speed_kmh_lag_24,0.10462946
us_aqi_trend,0.10150505
temperature_c_lag_72,0.10027532
so2_trend,0.08999766
so2_lag_24,0.07338407
temperature_c_lag_2,0.06698702
humidity_pct_lag_12,0.06330535
pm10_lag_24,0.061627354
co_trend,0.058938645
us_aqi_diff_3,0.055506367
wind_speed_kmh_trend,0.054454237
us_aqi_lag_6,0.0381375
pm25_trend,0.036868315
humidity_pct_lag_3,0.035415914
o3_lag_1,0.033098083
is_weekend,0.02836484
pm25_lag_24,0.024719637
wind_speed_kmh_lag_1,0.02327359
precipitation_mm_lag_12,0.022053443
o3_lag_24,0.021407291
so2_lag_1,0.021395471
temperature_c_lag_12,0.020487208
temperature_c_lag_1,0.016834263
wind_speed_kmh_lag_2,0.013861836
us_aqi_lag_3,0.013401438
humidity_pct_lag_6,0.013217369
co_lag_1,0.013190166
humidity_pct_lag_1,0.012556438
humidity_pct_lag_2,0.012314304
humidity_pct_trend,0.011671512
o3_trend,0.011431563
temperature_c_lag_24,0.009153199
humidity_pct_lag_24,0.008014687
us_aqi_lag_2,0.0062220804
wind_speed_kmh_lag_72,0.0057142633
pm25_lag_1,0.0053281197
wind_speed_kmh_lag_12,0.0035078544
no2_lag_1,0.0028285587
no2_trend,0.0019312113
wind_speed_kmh_lag_48,0.0008829714
pm10_trend,0.00083735905
no2_lag_24,0.0008110224
wind_speed_kmh_lag_3,0.00024783413
precipitation_mm_lag_24,0.0
precipitation_mm_trend,0.0
precipitation_mm_lag_1,0.0
precipitation_mm_lag_3,0.0
precipitation_mm_lag_72,0.0
precipitation_mm_lag_48,0.0
wind_speed_kmh_lag_6,0.0
precipitation_mm_lag_2,0.0
precipitation_mm_lag_6,0.0
us_aqi_diff_1,0.0
