feature,mean_abs_shap
us_aqi,14.708146
pm25_lag_1,8.442592
pm25_rolling_24h,5.627249
co_rolling_24h,3.2832506
temperature_c_rolling_24h,2.4463496
us_aqi_lag_1,2.4033659
us_aqi_lag_72,1.9826139
precipitation_mm_rolling_24h,1.8441737
o3_lag_1,1.3176432
us_aqi_lag_48,1.3130919
month,1.2955494
pm25_trend,1.2413001
o3_trend,1.1913849
wind_speed_kmh_lag_1,1.1063639
dayofweek,1.0295148
pm10_trend,1.0163227
pm10_lag_1,0.94205743
wind_speed_kmh_trend,0.8311912
no2_rolling_24h,0.81052625
pm10_rolling_24h,0.7793673
humidity_pct_rolling_24h,0.6400428
dust_rolling_24h,0.63549095
temperature_c_lag_12,0.6286473
o3_rolling_24h,0.6131329
us_aqi_diff_1,0.6085083
so2_trend,0.590676
day,0.5706916
temperature_c_lag_3,0.56541914
us_aqi_diff_6,0.49392542
co_lag_1,0.4582405
so2_rolling_24h,0.43527588
dust_lag_1,0.39185953
us_aqi_diff_3,0.3576736
hour,0.35289314
us_aqi_max_24,0.32950118
humidity_pct_lag_12,0.32080448
so2_lag_1,0.29035068
us_aqi_lag_2,0.26416105
us_aqi_lag_24,0.25560915
us_aqi_max_6,0.24408464
no2_lag_24,0.20796531
wind_speed_kmh_rolling_24h,0.20482588
us_aqi_rolling_24h,0.203076
dust_trend,0.2023958
dust_lag_24,0.20030682
temperature_c_lag_72,0.17521928
wind_speed_kmh_lag_2,0.16509317
humidity_pct_lag_72,0.16486941
temperature_c_lag_6,0.15113504
o3_lag_24,0.13014217
temperature_c_lag_2,0.12659296
co_trend,0.1183477
no2_trend,0.11747278
wind_speed_kmh_lag_48,0.11734672
temperature_c_trend,0.11390911
us_aqi_max_12,0.11297683
pm25_lag_24,0.1088413
us_aqi_lag_6,0.103855
humidity_pct_lag_1,0.09034033
so2_lag_24,0.08572989
is_weekend,0.08237315
us_aqi_std_24,0.079990625
humidity_pct_lag_6,0.07842483
us_aqi_trend,0.076972045
humidity_pct_lag_3,0.06929955
temperature_c_lag_1,0.06904671
wind_speed_kmh_lag_3,0.06703262
wind_speed_kmh_lag_12,0.065134265
wind_speed_kmh_lag_72,0.0629601
humidity_pct_lag_48,0.06085774
wind_speed_kmh_lag_24,0.06060644
temperature_c_lag_24,0.058603223
temperature_c_lag_48,0.05214327
humidity_pct_lag_24,0.046079643
us_aqi_lag_12,0.04599202
us_aqi_lag_3,0.045757096
humidity_pct_lag_2,0.04523629
co_lag_24,0.040744822
pm10_lag_24,0.038225774
no2_lag_1,0.033668958
wind_speed_kmh_lag_6,0.028961351
humidity_pct_trend,0.020790461
precipitation_mm_lag_48,0.014092377
precipitation_mm_lag_12,0.0016569127
precipitation_mm_lag_24,0.0010831909
precipitation_mm_lag_3,0.00027825756
precipitation_mm_lag_1,0.0
precipitation_mm_trend,0.0
precipitation_mm_lag_72,0.0
precipitation_mm_lag_2,0.0
precipitation_mm_lag_6,0.0
